Subject,NEOFAC_N,NEOFAC_E,NEOFAC_O,NEOFAC_C,NEOFAC_A
185442,9.0,27.0,38.0,31.0,40.0
185846,17.0,30.0,26.0,22.0,24.0
185947,33.0,26.0,35.0,30.0,37.0
186040,14.0,34.0,35.0,32.0,37.0
186141,16.0,30.0,23.0,37.0,32.0
186444,31.0,22.0,27.0,23.0,27.0
186545,23.0,28.0,23.0,32.0,32.0
186848,15.0,40.0,33.0,36.0,38.0
187143,10.0,29.0,35.0,32.0,32.0
187345,25.0,31.0,35.0,34.0,33.0
187547,16.0,35.0,20.0,36.0,31.0
187850,15.0,31.0,31.0,31.0,29.0
188145,12.0,24.0,21.0,39.0,39.0
188347,14.0,32.0,23.0,39.0,32.0
188448,15.0,37.0,29.0,36.0,36.0
188549,21.0,26.0,29.0,34.0,38.0
188751,5.0,38.0,31.0,41.0,42.0
189349,6.0,32.0,28.0,43.0,32.0
189450,18.0,31.0,27.0,30.0,23.0
189652,29.0,36.0,13.0,35.0,43.0
191033,17.0,32.0,28.0,35.0,41.0
191235,2.0,30.0,20.0,38.0,34.0
191336,26.0,30.0,27.0,35.0,27.0
191841,18.0,28.0,32.0,37.0,35.0
191942,11.0,32.0,32.0,44.0,35.0
192035,4.0,34.0,34.0,45.0,41.0
192136,22.0,30.0,25.0,36.0,30.0
192237,26.0,34.0,30.0,31.0,40.0
192641,14.0,29.0,25.0,36.0,32.0
192843,15.0,40.0,31.0,29.0,31.0
193845,6.0,39.0,28.0,42.0,37.0
194443,23.0,42.0,32.0,39.0,26.0
194645,20.0,25.0,27.0,35.0,19.0
194746,10.0,32.0,34.0,44.0,38.0
194847,15.0,32.0,23.0,36.0,33.0
195041,3.0,32.0,27.0,41.0,36.0
195445,30.0,27.0,23.0,37.0,35.0
195849,23.0,35.0,25.0,38.0,26.0
195950,14.0,37.0,20.0,43.0,38.0
196346,12.0,27.0,18.0,31.0,37.0
197348,23.0,31.0,35.0,28.0,41.0
198047,20.0,35.0,38.0,37.0,31.0
198249,13.0,29.0,28.0,31.0,26.0
198350,3.0,27.0,24.0,35.0,37.0
198653,16.0,38.0,23.0,36.0,31.0
198855,15.0,28.0,34.0,36.0,33.0
199352,14.0,32.0,28.0,41.0,27.0
199453,16.0,30.0,36.0,28.0,39.0
199958,19.0,30.0,38.0,28.0,25.0
200008,14.0,28.0,28.0,36.0,34.0
200109,8.0,38.0,22.0,41.0,42.0
200311,9.0,34.0,35.0,35.0,36.0
200513,19.0,33.0,32.0,34.0,33.0
200917,13.0,33.0,34.0,27.0,35.0
201414,8.0,38.0,37.0,37.0,41.0
201515,2.0,31.0,27.0,42.0,35.0
201818,23.0,28.0,21.0,29.0,27.0
202113,12.0,39.0,22.0,36.0,39.0
202719,5.0,36.0,30.0,45.0,43.0
203418,22.0,29.0,28.0,35.0,35.0
203923,17.0,40.0,24.0,36.0,38.0
204016,15.0,19.0,38.0,31.0,44.0
204218,12.0,40.0,31.0,37.0,27.0
204319,25.0,27.0,28.0,30.0,22.0
204420,24.0,22.0,22.0,25.0,29.0
204521,11.0,27.0,33.0,40.0,34.0
204622,6.0,34.0,30.0,45.0,39.0
205220,13.0,39.0,25.0,37.0,32.0
206222,25.0,32.0,41.0,31.0,23.0
206323,9.0,31.0,26.0,35.0,34.0
206525,3.0,37.0,31.0,40.0,19.0
206727,27.0,30.0,21.0,28.0,25.0
206828,4.0,32.0,28.0,47.0,31.0
206929,11.0,34.0,26.0,35.0,33.0
207123,9.0,28.0,18.0,21.0,32.0
207426,15.0,27.0,31.0,32.0,35.0
208024,19.0,40.0,30.0,40.0,36.0
208125,20.0,24.0,30.0,31.0,26.0
208327,10.0,30.0,32.0,36.0,40.0
208630,16.0,26.0,24.0,36.0,26.0
209127,23.0,30.0,22.0,28.0,30.0
209228,22.0,26.0,27.0,30.0,33.0
209329,6.0,37.0,26.0,42.0,38.0
209834,20.0,35.0,35.0,34.0,30.0
210011,10.0,35.0,35.0,36.0,40.0
210112,16.0,36.0,41.0,27.0,26.0
210415,17.0,32.0,27.0,27.0,36.0
211114,14.0,31.0,27.0,44.0,34.0
211215,18.0,38.0,37.0,33.0,37.0
211316,26.0,28.0,30.0,31.0,30.0
211619,9.0,24.0,32.0,37.0,31.0
211720,14.0,35.0,38.0,39.0,30.0
211821,20.0,24.0,28.0,32.0,32.0
211922,28.0,31.0,25.0,33.0,33.0
212015,13.0,27.0,31.0,34.0,33.0
212116,12.0,34.0,26.0,45.0,35.0
212217,21.0,34.0,29.0,37.0,32.0
212419,10.0,34.0,37.0,36.0,39.0
212823,2.0,45.0,45.0,37.0,36.0
213017,12.0,34.0,30.0,35.0,35.0
213421,22.0,27.0,32.0,31.0,37.0
213522,27.0,10.0,25.0,27.0,27.0
214524,19.0,28.0,34.0,27.0,35.0
214625,28.0,29.0,42.0,22.0,37.0
214726,14.0,32.0,27.0,38.0,36.0
217126,23.0,37.0,31.0,27.0,27.0
219231,29.0,24.0,37.0,26.0,37.0
